Species,Latitude,Longitude
S02,-0.657753758,-90.23184696
S02,-0.658661686,-90.23163297
S06,-0.678201998,-90.23153398
S03,-0.678201998,-90.23153398
S03,-0.657146741,-90.23092101
S02,-0.657146741,-90.23092101
S02,-0.656211739,-90.23047602
S02,-0.655976962,-90.22966297
S14,-0.677998066,-90.22553103
S02,-0.678455466,-90.22475403
S02,-0.683099627,-90.22331502
S02,-0.686018039,-90.22325099
S02,-0.684007807,-90.22316901
S02,-0.685988031,-90.22299098
S02,-0.68611111,-90.22277778
S02,-0.689449,-90.221999
S01,-0.700633144,-90.45586087
S01,-0.700633144,-90.45586087
S01,-0.700633144,-90.45586087
S01,-0.700633144,-90.45586087
S01,-0.700633144,-90.45586087
S01,-0.700633144,-90.45586087
S01,-0.700633144,-90.45586087
S01,-0.700633144,-90.45586087
